"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\config\app_material_localization.dart", "Dart", 34, 0, 14, 48
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\data\mongo_database.dart", "Dart", 43, 0, 23, 66
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\main.dart", "Dart", 23, 1, 5, 29
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\models\boleta.dart", "Dart", 55, 3, 16, 74
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\models\itinerario.dart", "Dart", 12, 0, 3, 15
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\pages\home\home.dart", "Dart", 76, 1, 21, 98
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\pages\itinerario\itinerario.dart", "Dart", 85, 0, 16, 101
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\pages\itinerarios\itinerarios.dart", "Dart", 207, 1, 45, 253
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\pages\printPdfPage\print_pdf_page.dart", "Dart", 103, 19, 16, 138
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\widgets\custom_text_form_field.dart", "Dart", 36, 1, 5, 42
"c:\Users\usuar\OneDrive\Escritorio\horarios\lib\widgets\date_picker.dart", "Dart", 37, 0, 6, 43
"Total", "-", 711, 26, 170, 907
